ano,id_municipio,sigla_uf,cargo,sigla_partido
2020,3500550,SP,prefeito,REPUBLICANOS
2020,3501103,SP,prefeito,MDB
2020,3506805,SP,prefeito,DEM
2020,3509601,SP,prefeito,PSDB
2020,3516804,SP,prefeito,DEM
2020,3526704,SP,prefeito,DEM
2020,3527801,SP,prefeito,PSB
2020,3531001,SP,prefeito,MDB
2020,3531704,SP,prefeito,PSD
2020,3537206,SP,prefeito,DEM
2020,3538600,SP,prefeito,PSD
2020,3538907,SP,prefeito,PSDB
2020,3544202,SP,prefeito,PSDB
2020,3547106,SP,prefeito,PSDB
2020,3547809,SP,prefeito,PSDB
2020,3548203,SP,prefeito,PSDB
2020,3548807,SP,prefeito,PSD
2020,3551900,SP,prefeito,PSDB
2020,3553807,SP,prefeito,PP
2020,3553955,SP,prefeito,PSDB
2020,3554201,SP,prefeito,PSDB
2020,3555307,SP,prefeito,MDB
2020,3556453,SP,prefeito,PL
2020,3557303,SP,prefeito,MDB
2020,3529401,SP,prefeito,PT
2020,3538709,SP,prefeito,DEM
2008,3503703,SP,prefeito,PTB
2008,3504107,SP,prefeito,PV
2008,3509601,SP,prefeito,PSDB
2008,3513009,SP,prefeito,PSDB
2008,3514205,SP,prefeito,PSDB
2008,3517505,SP,prefeito,PSDB
2008,3525854,SP,prefeito,PSDB
2008,3526001,SP,prefeito,PSDB
2008,3526209,SP,prefeito,PDT
2008,3530508,SP,prefeito,PSDB
2008,3532900,SP,prefeito,PT
2008,3535507,SP,prefeito,PSDB
2008,3539707,SP,prefeito,PR
2008,3541901,SP,prefeito,PSDB
2008,3544103,SP,prefeito,PSDB
2008,3544806,SP,prefeito,DEM
2008,3545001,SP,prefeito,PSDB
2008,3547601,SP,prefeito,PDT
2008,3547809,SP,prefeito,PT
2008,3548609,SP,prefeito,PSDB
2008,3551009,SP,prefeito,PSB
2008,3551603,SP,prefeito,DEM
2008,3554003,SP,prefeito,PSDB
2008,3554953,SP,prefeito,PTB
2008,3555505,SP,prefeito,DEM
2012,3500303,SP,prefeito,PMDB
2012,3503356,SP,prefeito,PTB
2012,3504800,SP,prefeito,PPS
2012,3510005,SP,prefeito,PMDB
2012,3511904,SP,prefeito,DEM
2012,3514502,SP,prefeito,PSDB
2012,3521101,SP,prefeito,PP
2012,3522901,SP,prefeito,PSDB
2012,3524808,SP,prefeito,PTB
2012,3526605,SP,prefeito,PSDB
2012,3526803,SP,prefeito,PSDB
2012,3526902,SP,prefeito,PSB
2012,3529708,SP,prefeito,PV
2012,3532827,SP,prefeito,PSDB
2012,3533304,SP,prefeito,PSDB
2012,3535200,SP,prefeito,PSDB
2012,3535804,SP,prefeito,PV
2012,3537305,SP,prefeito,PSD
2012,3538006,SP,prefeito,PSDB
2012,3541000,SP,prefeito,PSDB
2012,3541901,SP,prefeito,PMDB
2012,3544202,SP,prefeito,PSB
2012,3544806,SP,prefeito,PT
2012,3548807,SP,prefeito,PMDB
2012,3550407,SP,prefeito,PPS
2016,3502408,SP,prefeito,PSD
2016,3502754,SP,prefeito,PV
2016,3504206,SP,prefeito,PSDB
2016,3510906,SP,prefeito,MDB
2016,3515202,SP,prefeito,PHS
2016,3515608,SP,prefeito,MDB
2016,3516101,SP,prefeito,PSDB
2016,3516804,SP,prefeito,PSB
2016,3518305,SP,prefeito,PL
2016,3523305,SP,prefeito,PSDB
2016,3532801,SP,prefeito,DEM
2016,3534757,SP,prefeito,PSB
2016,3535705,SP,prefeito,MDB
2016,3537156,SP,prefeito,DEM
2016,3538709,SP,prefeito,PSDB
2016,3545100,SP,prefeito,PV
2016,3546702,SP,prefeito,PTB
2016,3547908,SP,prefeito,MDB
2016,3548906,SP,prefeito,PSB
2016,3554003,SP,prefeito,PSDB
2016,3555109,SP,prefeito,DEM
2016,3555406,SP,prefeito,PSD
2016,3555901,SP,prefeito,PSDB
2020,3503406,SP,prefeito,PSDB
2020,3503950,SP,prefeito,PSDB
2020,3504206,SP,prefeito,MDB
2020,3505104,SP,prefeito,PSD
2020,3505351,SP,prefeito,DEM
2020,3509957,SP,prefeito,PDT
2020,3510807,SP,prefeito,REPUBLICANOS
2020,3511003,SP,prefeito,REPUBLICANOS
2020,3515129,SP,prefeito,PTB
2020,3515194,SP,prefeito,MDB
2020,3517505,SP,prefeito,DEM
2020,3519501,SP,prefeito,PSD
2020,3520905,SP,prefeito,PSDB
2020,3521903,SP,prefeito,PSC
2020,3522802,SP,prefeito,REPUBLICANOS
2020,3523909,SP,prefeito,PL
2020,3528700,SP,prefeito,PSOL
2020,3529302,SP,prefeito,PT
2020,3530706,SP,prefeito,CIDADANIA
2020,3535309,SP,prefeito,PSDB
2020,3536604,SP,prefeito,PTB
2020,3538204,SP,prefeito,DEM
2020,3539608,SP,prefeito,DEM
2020,3539806,SP,prefeito,PSDB
2020,3542305,SP,prefeito,PL
2020,3543600,SP,prefeito,CIDADANIA
2020,3544301,SP,prefeito,PL
2020,3547403,SP,prefeito,REPUBLICANOS
2020,3549250,SP,prefeito,MDB
2020,3550209,SP,prefeito,PP
2008,3501152,SP,prefeito,PMDB
2008,3501905,SP,prefeito,PT
2008,3507001,SP,prefeito,DEM
2008,3510708,SP,prefeito,DEM
2008,3515400,SP,prefeito,PMDB
2008,3522406,SP,prefeito,PSDB
2008,3528858,SP,prefeito,PSDB
2008,3532603,SP,prefeito,PSB
2008,3534104,SP,prefeito,PSDB
2008,3535002,SP,prefeito,PTB
2008,3537107,SP,prefeito,PSB
2008,3537156,SP,prefeito,PTB
2008,3537909,SP,prefeito,DEM
2008,3538808,SP,prefeito,PP
2008,3539400,SP,prefeito,PTB
2008,3540853,SP,prefeito,PDT
2008,3541059,SP,prefeito,PV
2008,3544202,SP,prefeito,PSB
2008,3547700,SP,prefeito,PMDB
2012,3504503,SP,prefeito,PMDB
2012,3504701,SP,prefeito,PMDB
2012,3506300,SP,prefeito,PPS
2012,3508108,SP,prefeito,PPS
2012,3511508,SP,prefeito,PTB
2012,3514106,SP,prefeito,PSDB
2012,3515905,SP,prefeito,PSDB
2012,3518206,SP,prefeito,PSDB
2012,3518859,SP,prefeito,PSDB
2012,3519709,SP,prefeito,PMDB
2012,3522604,SP,prefeito,PSDB
2012,3523404,SP,prefeito,PSDB
2012,3525854,SP,prefeito,PSDB
2012,3528858,SP,prefeito,PSDB
2012,3530607,SP,prefeito,PSD
2012,3530904,SP,prefeito,PR
2012,3532207,SP,prefeito,PSDB
2012,3533700,SP,prefeito,PSDB
2012,3540408,SP,prefeito,PMDB
2012,3543105,SP,prefeito,PT
2012,3543253,SP,prefeito,PSDB
2012,3546801,SP,prefeito,PV
2012,3547403,SP,prefeito,PSDB
2012,3548054,SP,prefeito,PT
2012,3551108,SP,prefeito,PSDB
2012,3552502,SP,prefeito,PSDB
2012,3556404,SP,prefeito,PTB
2012,3513801,SP,prefeito,PV
2016,3501707,SP,prefeito,PSDB
2016,3506508,SP,prefeito,PTB
2016,3507001,SP,prefeito,PSDB
2016,3508108,SP,prefeito,REPUBLICANOS
2016,3518909,SP,prefeito,PSDB
2016,3520806,SP,prefeito,PSDB
2016,3521309,SP,prefeito,MDB
2016,3522604,SP,prefeito,PSDB
2016,3523602,SP,prefeito,MDB
2016,3526605,SP,prefeito,PTB
2016,3527256,SP,prefeito,DEM
2016,3529807,SP,prefeito,PSDB
2016,3533007,SP,prefeito,PSB
2016,3538303,SP,prefeito,MDB
2016,3538907,SP,prefeito,PTB
2016,3540309,SP,prefeito,MDB
2016,3548104,SP,prefeito,PSD
2016,3553609,SP,prefeito,CIDADANIA
2016,3555802,SP,prefeito,PSDB
2016,3557154,SP,prefeito,PDT
2016,3547809,SP,prefeito,PSDB
2020,3500105,SP,prefeito,DEM
2020,3502101,SP,prefeito,PSDB
2020,3502804,SP,prefeito,PSDB
2020,3504305,SP,prefeito,PSDB
2020,3505302,SP,prefeito,MDB
2020,3511607,SP,prefeito,PSDB
2020,3513603,SP,prefeito,PSDB
2020,3514304,SP,prefeito,PL
2020,3516853,SP,prefeito,PTB
2020,3519600,SP,prefeito,MDB
2020,3520806,SP,prefeito,PSDB
2020,3522703,SP,prefeito,PP
2020,3522901,SP,prefeito,PTB
2020,3530102,SP,prefeito,PSL
2020,3533304,SP,prefeito,PTB
2020,3534757,SP,prefeito,PP
2020,3536109,SP,prefeito,CIDADANIA
2020,3538501,SP,prefeito,PSDB
2020,3540705,SP,prefeito,PSD
2020,3543006,SP,prefeito,PP
2020,3548005,SP,prefeito,DEM
2020,3548104,SP,prefeito,PSD
2020,3553906,SP,prefeito,PV
2020,3541000,SP,prefeito,PSDB
2020,3550308,SP,prefeito,PSDB
2008,3502002,SP,prefeito,DEM
2008,3502309,SP,prefeito,PMDB
2008,3503158,SP,prefeito,PPS
2008,3503604,SP,prefeito,PT
2008,3503950,SP,prefeito,PSDB
2008,3504800,SP,prefeito,PSB
2008,3505203,SP,prefeito,PSDB
2008,3505609,SP,prefeito,PPS
2008,3505906,SP,prefeito,PTB
2008,3506201,SP,prefeito,PTB
2008,3506607,SP,prefeito,PSDB
2008,3510153,SP,prefeito,PTB
2008,3514908,SP,prefeito,PT
2008,3515202,SP,prefeito,PP
2008,3516408,SP,prefeito,PSDB
2008,3517406,SP,prefeito,DEM
2008,3518602,SP,prefeito,PSDB
2008,3519253,SP,prefeito,PSDB
2008,3519808,SP,prefeito,DEM
2008,3520004,SP,prefeito,PSDB
2008,3520905,SP,prefeito,PSB
2008,3524402,SP,prefeito,PT
2008,3526704,SP,prefeito,DEM
2008,3527009,SP,prefeito,PSDB
2008,3530201,SP,prefeito,DEM
2008,3534401,SP,prefeito,PT
2008,3536208,SP,prefeito,DEM
2008,3536257,SP,prefeito,DEM
2008,3536901,SP,prefeito,PSDB
2008,3537008,SP,prefeito,PSDB
2008,3537206,SP,prefeito,PSB
2008,3541109,SP,prefeito,PT
2008,3541505,SP,prefeito,PMDB
2008,3542602,SP,prefeito,PT
2008,3543600,SP,prefeito,PMDB
2008,3545407,SP,prefeito,PMDB
2008,3550209,SP,prefeito,PSDB
2008,3551405,SP,prefeito,PT
2008,3551504,SP,prefeito,PT
2008,3553856,SP,prefeito,PSDB
2008,3554300,SP,prefeito,DEM
2008,3555406,SP,prefeito,DEM
2008,3556800,SP,prefeito,PSDB
2012,3503000,SP,prefeito,PSD
2012,3507605,SP,prefeito,PT
2012,3513702,SP,prefeito,PPS
2012,3515129,SP,prefeito,PSDB
2012,3516408,SP,prefeito,PT
2012,3517109,SP,prefeito,PT
2012,3517901,SP,prefeito,PPS
2012,3519501,SP,prefeito,PMDB
2012,3520806,SP,prefeito,PSD
2012,3521200,SP,prefeito,PMDB
2012,3522406,SP,prefeito,PMDB
2012,3523008,SP,prefeito,PMDB
2012,3527108,SP,prefeito,PSDB
2012,3528700,SP,prefeito,PMDB
2012,3528809,SP,prefeito,PSD
2012,3534401,SP,prefeito,PT
2012,3534500,SP,prefeito,PSDB
2012,3534906,SP,prefeito,PP
2012,3537008,SP,prefeito,PMDB
2012,3537800,SP,prefeito,PSDB
2012,3541109,SP,prefeito,PRP
2012,3543709,SP,prefeito,PT
2012,3553401,SP,prefeito,PT
2016,3500204,SP,prefeito,PSDB
2016,3503950,SP,prefeito,DEM
2016,3504503,SP,prefeito,PTB
2016,3505401,SP,prefeito,PSDB
2016,3506409,SP,prefeito,PSDB
2016,3511904,SP,prefeito,DEM
2016,3512100,SP,prefeito,PTB
2016,3514601,SP,prefeito,PTB
2016,3519303,SP,prefeito,PSDB
2016,3519600,SP,prefeito,PSB
2016,3520400,SP,prefeito,MDB
2016,3525409,SP,prefeito,PSDB
2016,3527009,SP,prefeito,PSB
2016,3528106,SP,prefeito,PSDB
2016,3528858,SP,prefeito,SOLIDARIEDADE
2016,3529005,SP,prefeito,PSDB
2016,3530003,SP,prefeito,MDB
2016,3532306,SP,prefeito,CIDADANIA
2016,3532827,SP,prefeito,PTB
2016,3533908,SP,prefeito,PL
2016,3536109,SP,prefeito,PSDB
2016,3536604,SP,prefeito,PSDB
2016,3537909,SP,prefeito,DEM
2016,3539103,SP,prefeito,MDB
2016,3541653,SP,prefeito,PSDB
2016,3542701,SP,prefeito,MDB
2016,3544806,SP,prefeito,DEM
2016,3550100,SP,prefeito,CIDADANIA
2016,3550803,SP,prefeito,CIDADANIA
2016,3551405,SP,prefeito,CIDADANIA
2016,3552007,SP,prefeito,PSDB
2016,3554904,SP,prefeito,PSDB
2016,3555356,SP,prefeito,DEM
2016,3506003,SP,prefeito,PSD
2016,3529401,SP,prefeito,PSB
2020,3507803,SP,prefeito,PSDB
2020,3508801,SP,prefeito,PODE
2020,3509304,SP,prefeito,PSDB
2020,3515202,SP,prefeito,MDB
2020,3515400,SP,prefeito,PSDB
2020,3517208,SP,prefeito,PSDB
2020,3517703,SP,prefeito,PSDB
2020,3519253,SP,prefeito,REPUBLICANOS
2020,3520426,SP,prefeito,PSDB
2020,3524402,SP,prefeito,PSDB
2020,3524600,SP,prefeito,PSD
2020,3524808,SP,prefeito,PSDB
2020,3525300,SP,prefeito,PSD
2020,3528601,SP,prefeito,DEM
2020,3529807,SP,prefeito,PSD
2020,3530904,SP,prefeito,PSDB
2020,3532009,SP,prefeito,PSD
2020,3532702,SP,prefeito,PSDB
2020,3532801,SP,prefeito,PSDB
2020,3532868,SP,prefeito,MDB
2020,3534005,SP,prefeito,PP
2020,3534500,SP,prefeito,PSD
2020,3537800,SP,prefeito,MDB
2020,3537909,SP,prefeito,DEM
2020,3540309,SP,prefeito,PSDB
2020,3541059,SP,prefeito,PSD
2020,3541703,SP,prefeito,PSD
2020,3542107,SP,prefeito,PSL
2020,3542701,SP,prefeito,PTB
2020,3542800,SP,prefeito,DEM
2020,3544509,SP,prefeito,PATRIOTA
2020,3546009,SP,prefeito,PL
2020,3548708,SP,prefeito,PSDB
2020,3552700,SP,prefeito,DEM
2020,3553005,SP,prefeito,PTB
2020,3554953,SP,prefeito,DEM
2020,3555802,SP,prefeito,PSDB
2020,3530607,SP,prefeito,PODE
2008,3506102,SP,prefeito,PV
2008,3508207,SP,prefeito,PSDB
2008,3510104,SP,prefeito,PDT
2008,3512605,SP,prefeito,PDT
2008,3515301,SP,prefeito,PR
2008,3516200,SP,prefeito,PSDB
2008,3517109,SP,prefeito,PMDB
2008,3519006,SP,prefeito,PSDB
2008,3521507,SP,prefeito,PMDB
2008,3529302,SP,prefeito,PT
2008,3534757,SP,prefeito,PTB
2008,3535606,SP,prefeito,DEM
2008,3538600,SP,prefeito,PV
2008,3540101,SP,prefeito,PSDB
2008,3540507,SP,prefeito,DEM
2008,3541604,SP,prefeito,PV
2008,3542800,SP,prefeito,PT
2008,3543006,SP,prefeito,PT
2008,3545100,SP,prefeito,PSDB
2008,3551207,SP,prefeito,PSDB
2008,3552502,SP,prefeito,PT
2008,3552809,SP,prefeito,PSB
2012,3500550,SP,prefeito,PMDB
2012,3503703,SP,prefeito,PSDB
2012,3506706,SP,prefeito,PT
2012,3507753,SP,prefeito,PV
2012,3508306,SP,prefeito,PSB
2012,3508702,SP,prefeito,PSDB
2012,3509403,SP,prefeito,PSDB
2012,3513207,SP,prefeito,PSDB
2012,3514007,SP,prefeito,PT
2012,3524006,SP,prefeito,PT
2012,3524303,SP,prefeito,PSDB
2012,3526100,SP,prefeito,PTB
2012,3529500,SP,prefeito,PP
2012,3532405,SP,prefeito,PT
2012,3532900,SP,prefeito,PPS
2012,3534302,SP,prefeito,PSB
2012,3535903,SP,prefeito,PSB
2012,3538204,SP,prefeito,PV
2012,3539509,SP,prefeito,PSDB
2012,3539806,SP,prefeito,PDT
2012,3540903,SP,prefeito,PMDB
2012,3542206,SP,prefeito,DEM
2012,3543600,SP,prefeito,PTB
2012,3545506,SP,prefeito,PSDB
2012,3547106,SP,prefeito,PSDB
2012,3547650,SP,prefeito,PSDB
2012,3548708,SP,prefeito,PT
2012,3549805,SP,prefeito,PSB
2012,3550803,SP,prefeito,PT
2012,3552304,SP,prefeito,PMDB
2012,3553609,SP,prefeito,PPS
2012,3553955,SP,prefeito,PSDB
2012,3555802,SP,prefeito,PP
2012,3556354,SP,prefeito,PSD
2016,3502002,SP,prefeito,MDB
2016,3502101,SP,prefeito,PC do B
2016,3503406,SP,prefeito,PSDB
2016,3503604,SP,prefeito,PL
2016,3506102,SP,prefeito,DEM
2016,3509254,SP,prefeito,PSB
2016,3509403,SP,prefeito,PDT
2016,3515657,SP,prefeito,PL
2016,3519402,SP,prefeito,PTB
2016,3520004,SP,prefeito,MDB
2016,3531407,SP,prefeito,PSD
2016,3534302,SP,prefeito,MDB
2016,3539608,SP,prefeito,MDB
2016,3543709,SP,prefeito,PT
2016,3543907,SP,prefeito,DEM
2016,3547106,SP,prefeito,PV
2016,3549300,SP,prefeito,PV
2016,3550308,SP,prefeito,PSDB
2020,3500303,SP,prefeito,PSDB
2020,3500907,SP,prefeito,DEM
2020,3501004,SP,prefeito,PSD
2020,3501400,SP,prefeito,PSDB
2020,3507704,SP,prefeito,PODE
2020,3511201,SP,prefeito,DEM
2020,3513306,SP,prefeito,PSDB
2020,3515806,SP,prefeito,PTB
2020,3519709,SP,prefeito,PTB
2020,3519907,SP,prefeito,DEM
2020,3520608,SP,prefeito,PODE
2020,3523800,SP,prefeito,MDB
2020,3525607,SP,prefeito,REPUBLICANOS
2020,3525706,SP,prefeito,DEM
2020,3529104,SP,prefeito,PSB
2020,3529500,SP,prefeito,SOLIDARIEDADE
2020,3530508,SP,prefeito,PSD
2020,3535200,SP,prefeito,DEM
2020,3535507,SP,prefeito,PSD
2020,3536703,SP,prefeito,PV
2020,3537701,SP,prefeito,PODE
2020,3538105,SP,prefeito,REPUBLICANOS
2020,3539301,SP,prefeito,PSD
2020,3545407,SP,prefeito,PL
2020,3545704,SP,prefeito,DEM
2020,3548500,SP,prefeito,PSDB
2020,3549607,SP,prefeito,PSDB
2020,3554706,SP,prefeito,PL
2020,3554755,SP,prefeito,DEM
2020,3556305,SP,prefeito,PSC
2008,3502408,SP,prefeito,PTB
2008,3504305,SP,prefeito,PSDB
2008,3509452,SP,prefeito,PSDB
2008,3512407,SP,prefeito,PPS
2008,3514106,SP,prefeito,PSDB
2008,3514809,SP,prefeito,PTB
2008,3515152,SP,prefeito,PSDB
2008,3518305,SP,prefeito,PR
2008,3518701,SP,prefeito,PMDB
2008,3519303,SP,prefeito,PSDB
2008,3520202,SP,prefeito,PR
2008,3521101,SP,prefeito,PP
2008,3521200,SP,prefeito,DEM
2008,3528106,SP,prefeito,PMDB
2008,3531308,SP,prefeito,PTB
2008,3532868,SP,prefeito,PSDB
2008,3540200,SP,prefeito,DEM
2008,3554805,SP,prefeito,PV
2008,3556354,SP,prefeito,PTB
2012,3500758,SP,prefeito,PSDB
2012,3501103,SP,prefeito,PV
2012,3501400,SP,prefeito,PSDB
2012,3501608,SP,prefeito,PMDB
2012,3503604,SP,prefeito,PSDB
2012,3513900,SP,prefeito,PT
2012,3514205,SP,prefeito,PSDB
2012,3515707,SP,prefeito,PSDB
2012,3516705,SP,prefeito,PSDB
2012,3525805,SP,prefeito,DEM
2012,3531308,SP,prefeito,PTB
2012,3532843,SP,prefeito,DEM
2012,3536802,SP,prefeito,DEM
2012,3538303,SP,prefeito,PMDB
2012,3539608,SP,prefeito,PP
2012,3542008,SP,prefeito,PSC
2012,3542107,SP,prefeito,PMDB
2012,3549953,SP,prefeito,PMDB
2012,3553708,SP,prefeito,PT
2012,3553856,SP,prefeito,PSDB
2012,3555000,SP,prefeito,PMDB
2016,3501301,SP,prefeito,PSDB
2016,3501806,SP,prefeito,CIDADANIA
2016,3503158,SP,prefeito,SOLIDARIEDADE
2016,3503703,SP,prefeito,PTB
2016,3505807,SP,prefeito,MDB
2016,3506607,SP,prefeito,PV
2016,3507456,SP,prefeito,PSDB
2016,3512209,SP,prefeito,PSDB
2016,3513900,SP,prefeito,PSDB
2016,3515509,SP,prefeito,DEM
2016,3516853,SP,prefeito,PHS
2016,3520442,SP,prefeito,PP
2016,3523206,SP,prefeito,MDB
2016,3530409,SP,prefeito,DEM
2016,3531100,SP,prefeito,PSDB
2016,3536208,SP,prefeito,PL
2016,3536307,SP,prefeito,PSDB
2016,3537503,SP,prefeito,PSB
2016,3538105,SP,prefeito,PSDB
2016,3540754,SP,prefeito,PL
2016,3541000,SP,prefeito,PSDB
2016,3541406,SP,prefeito,PTB
2016,3545159,SP,prefeito,PSDB
2016,3550506,SP,prefeito,PL
2016,3551009,SP,prefeito,MDB
2016,3552700,SP,prefeito,DEM
2016,3554953,SP,prefeito,DEM
2016,3556107,SP,prefeito,PSDB
2016,3556701,SP,prefeito,PSDB
2016,3543402,SP,prefeito,PSDB
2020,3501301,SP,prefeito,PSDB
2020,3508009,SP,prefeito,PP
2020,3516705,SP,prefeito,DEM
2020,3517109,SP,prefeito,PSDB
2020,3519303,SP,prefeito,PSDB
2020,3524204,SP,prefeito,PODE
2020,3535101,SP,prefeito,PV
2020,3536000,SP,prefeito,PL
2020,3537008,SP,prefeito,PSDB
2020,3542909,SP,prefeito,CIDADANIA
2020,3544707,SP,prefeito,PP
2020,3547700,SP,prefeito,PATRIOTA
2020,3549508,SP,prefeito,PODE
2020,3550001,SP,prefeito,PSDB
2020,3550605,SP,prefeito,PODE
2020,3551207,SP,prefeito,PTB
2020,3506003,SP,prefeito,PATRIOTA
2008,3500709,SP,prefeito,PMDB
2008,3500907,SP,prefeito,PDT
2008,3503505,SP,prefeito,PSDB
2008,3506300,SP,prefeito,PTB
2008,3507506,SP,prefeito,PSDB
2008,3508801,SP,prefeito,PT
2008,3508900,SP,prefeito,PTB
2008,3509106,SP,prefeito,PSDB
2008,3510302,SP,prefeito,PV
2008,3510807,SP,prefeito,PMN
2008,3511300,SP,prefeito,PMDB
2008,3514957,SP,prefeito,DEM
2008,3515608,SP,prefeito,PSDB
2008,3516002,SP,prefeito,PMDB
2008,3523107,SP,prefeito,PR
2008,3524006,SP,prefeito,PMDB
2008,3525201,SP,prefeito,PTB
2008,3525904,SP,prefeito,PSDB
2008,3529500,SP,prefeito,PMDB
2008,3534906,SP,prefeito,PTB
2008,3536505,SP,prefeito,DEM
2008,3537800,SP,prefeito,PT
2008,3539301,SP,prefeito,PSDB
2008,3540606,SP,prefeito,PT
2008,3542305,SP,prefeito,PDT
2008,3547106,SP,prefeito,PSDB
2008,3549300,SP,prefeito,PSDB
2008,3552007,SP,prefeito,PTB
2008,3552700,SP,prefeito,PSB
2008,3552908,SP,prefeito,PSDB
2008,3553203,SP,prefeito,PP
2008,3553807,SP,prefeito,PSDB
2008,3554201,SP,prefeito,PSDB
2008,3554706,SP,prefeito,PSL
2008,3555208,SP,prefeito,PMDB
2008,3556008,SP,prefeito,PTB
2012,3500600,SP,prefeito,PSDB
2012,3502200,SP,prefeito,PSDB
2012,3502705,SP,prefeito,PC do B
2012,3503802,SP,prefeito,PSD
2012,3504602,SP,prefeito,PMDB
2012,3506508,SP,prefeito,PDT
2012,3509007,SP,prefeito,PSD
2012,3509957,SP,prefeito,PTB
2012,3512001,SP,prefeito,PSDB
2012,3512803,SP,prefeito,PMDB
2012,3513603,SP,prefeito,PSDB
2012,3521804,SP,prefeito,PR
2012,3522307,SP,prefeito,PSDB
2012,3522505,SP,prefeito,PV
2012,3523602,SP,prefeito,PMDB
2012,3524402,SP,prefeito,PT
2012,3526209,SP,prefeito,PPS
2012,3526704,SP,prefeito,PT
2012,3528205,SP,prefeito,PTB
2012,3532504,SP,prefeito,DEM
2012,3533601,SP,prefeito,PMDB
2012,3533908,SP,prefeito,DEM
2012,3536000,SP,prefeito,PP
2012,3536109,SP,prefeito,PSDB
2012,3539004,SP,prefeito,PSD
2012,3539707,SP,prefeito,PR
2012,3540002,SP,prefeito,PP
2012,3543501,SP,prefeito,DEM
2012,3544301,SP,prefeito,PT
2012,3547205,SP,prefeito,PSDB
2012,3547601,SP,prefeito,PDT
2012,3550100,SP,prefeito,PR
2012,3550605,SP,prefeito,PMDB
2012,3551900,SP,prefeito,PSDC
2012,3554300,SP,prefeito,PSB
2012,3554656,SP,prefeito,PTB
2012,3555604,SP,prefeito,PMDB
2016,3501608,SP,prefeito,MDB
2016,3502804,SP,prefeito,PSDB
2016,3505203,SP,prefeito,MDB
2016,3507159,SP,prefeito,PSDB
2016,3507704,SP,prefeito,PTB
2016,3510708,SP,prefeito,PSD
2016,3511201,SP,prefeito,CIDADANIA
2016,3512605,SP,prefeito,PROS
2016,3515301,SP,prefeito,PSDB
2016,3515707,SP,prefeito,REPUBLICANOS
2016,3515806,SP,prefeito,MDB
2016,3516002,SP,prefeito,MDB
2016,3516408,SP,prefeito,PT
2016,3529658,SP,prefeito,PSDB
2016,3530706,SP,prefeito,PTB
2016,3531902,SP,prefeito,PDT
2016,3533502,SP,prefeito,CIDADANIA
2016,3534708,SP,prefeito,PSD
